Gene	WT-1_FPKM	WT-2_FPKM	Toluene-1_FPKM	Toluene-2_FPKM
C2CD2L	1.74	0.0	0.0	0.0
C2orf72	1.66	0.0	0.0	0.0
C3	1.3366666666666667	0.19666666666666668	0.22666666666666666	0.05000000000000001
C4Ha	18.96	20.07	18.99	34.86
C4b	0.6066666666666667	0.08	0.25833333333333336	0.06833333333333334
C4bp	0.0	0.0	0.0	0.88
C4orf19	2.74	0.0	0.0	0.0
C4orf3	0.9	0.11	0.0	0.0
C6	0.0	0.0	0.5549999999999999	0.0
C6orf106	1.05	0.23	0.0	0.0
C77080	0.0	0.0	1.4	0.0
C7orf26	0.66	0.0	0.0	0.0
C7orf50	2.06	0.0	0.0	0.0
C8H8orf59	4.73	0.0	0.0	0.0
C8a	0.56	0.0	0.0	0.26
C8b	0.25	0.5266666666666667	0.0	0.18333333333333335
C8g	0.135	0.0	0.6950000000000001	0.38
C9	1.05	0.15	0.88	0.0
C9orf114	1.83	0.0	0.0	0.0
C9orf152	1.81	0.0	0.0	0.0
C9orf16	1.39	0.0	0.0	0.0
C9orf3	2.03	0.0	0.0	0.0
CA1	1.6	0.0	0.0	0.0
CA12	1.2799999999999998	0.0	0.0	0.0
CA2	1.995	0.0	0.18	0.105
CA4	1.04	0.2	0.0	0.0
CA7	1.95	0.0	0.0	0.0
CAB1	2.85	3.275	1.415	2.295
CAB2	0.92	0.0	0.76	0.22
CABIN1	1.43	0.0	0.0	0.0
CAC	15.315000000000001	15.98	13.305	18.21
CACFD1	1.51	0.0	0.0	0.0
CACNB2	3.44	0.0	0.0	0.0
CACUL1	7.43	0.0	0.0	0.0
CAL1	0.34	0.25	0.52	0.73
CALCOCO2	0.64	0.0	0.0	0.0
CALM1	0.875	0.355	0.02	0.0
CALM2	2.495	0.0	0.24	0.0
CALM3	1.89	0.0	0.0	0.09000000000000001
CALML4	2.01	0.0	0.0	0.13
CALR	13.04	0.14	0.0	0.44
CALS10	6.56	6.69	4.82	9.06
CAM	0.22	0.0	0.18	0.21
CAMK2N1	2.615	0.0	0.0	0.0
CAMKK2	1.82	0.0	0.0	0.0
CAND1	5.89	0.0	0.0	0.0
CANT1	1.46	0.0	0.045	0.0
CANX	3.47	0.0	0.0	0.0
CAP1	1.985	0.0	0.0	0.0
CAPG	1.57	0.0	0.0	0.0
CAPN1	2.94	0.0	0.0	0.0
